date;time;r.ProtoId;map.Id;map.GetProtoId();hx;hy;r.GetCurrentCount();r.MaxCount;r.EventNum;
6.9.2018;18:52:37 ;711;3;3;63;92;18;20;2;
6.9.2018;18:52:44 ;711;3;3;67;94;19;20;2;
6.9.2018;18:52:51 ;711;3;3;67;96;20;20;2;
6.9.2018;19:09:11 ;710;3;3;71;87;1;20;1;
6.9.2018;19:09:11 ;711;3;3;55;86;1;20;2;
6.9.2018;19:09:11 ;712;3;3;127;83;1;3;3;
6.9.2018;19:09:11 ;713;3;3;100;48;1;3;4;
6.9.2018;19:09:16 ;710;3;3;75;86;2;20;1;
6.9.2018;19:09:18 ;711;3;3;63;94;2;20;2;
6.9.2018;19:09:21 ;710;3;3;79;92;3;20;1;
6.9.2018;19:09:25 ;711;3;3;67;98;3;20;2;
6.9.2018;19:09:26 ;710;3;3;75;98;4;20;1;
6.9.2018;19:09:31 ;710;3;3;71;91;5;20;1;
6.9.2018;19:09:32 ;711;3;3;63;90;4;20;2;
6.9.2018;19:09:36 ;710;3;3;75;95;6;20;1;
6.9.2018;19:09:39 ;711;3;3;67;85;5;20;2;
6.9.2018;19:09:41 ;712;3;3;91;133;2;3;3;
6.9.2018;19:09:41 ;710;3;3;79;100;7;20;1;
6.9.2018;19:09:46 ;710;3;3;79;91;8;20;1;
6.9.2018;19:09:51 ;710;3;3;71;92;9;20;1;
6.9.2018;19:09:53 ;711;3;3;67;92;6;20;2;
6.9.2018;19:10:00 ;711;3;3;63;91;7;20;2;
6.9.2018;19:10:01 ;710;3;3;75;88;10;20;1;
6.9.2018;19:10:06 ;710;3;3;75;93;11;20;1;
6.9.2018;19:10:07 ;711;3;3;59;92;8;20;2;
6.9.2018;19:10:11 ;712;3;3;82;59;3;3;3;
6.9.2018;19:10:11 ;710;3;3;71;86;12;20;1;
6.9.2018;19:10:14 ;711;3;3;63;87;9;20;2;
6.9.2018;19:10:16 ;710;3;3;79;88;13;20;1;
6.9.2018;19:10:21 ;711;3;3;67;95;10;20;2;
6.9.2018;19:10:21 ;710;3;3;75;89;14;20;1;
6.9.2018;19:10:28 ;711;3;3;63;89;11;20;2;
6.9.2018;19:10:36 ;710;3;3;79;97;15;20;1;
6.9.2018;19:10:41 ;710;3;3;79;98;16;20;1;
6.9.2018;19:10:46 ;710;3;3;75;90;17;20;1;
6.9.2018;19:10:51 ;713;3;3;108;121;2;3;4;
6.9.2018;19:10:56 ;711;3;3;59;94;12;20;2;
6.9.2018;19:10:56 ;710;3;3;79;93;18;20;1;
6.9.2018;19:11:03 ;711;3;3;59;93;13;20;2;
6.9.2018;19:11:10 ;711;3;3;67;99;14;20;2;
6.9.2018;19:11:17 ;711;3;3;59;91;15;20;2;
6.9.2018;19:11:26 ;710;3;3;79;89;19;20;1;
6.9.2018;19:11:31 ;711;3;3;63;93;16;20;2;
6.9.2018;19:11:36 ;710;3;3;79;94;20;20;1;
6.9.2018;19:11:38 ;711;3;3;63;99;17;20;2;
6.9.2018;19:12:02 ;710;3;3;79;93;1;20;1;
6.9.2018;19:12:02 ;711;3;3;63;90;1;20;2;
6.9.2018;19:12:02 ;712;3;3;127;83;1;3;3;
6.9.2018;19:12:02 ;713;3;3;87;90;1;3;4;
6.9.2018;19:12:07 ;710;3;3;79;96;2;20;1;
6.9.2018;19:12:09 ;711;3;3;63;93;2;20;2;
6.9.2018;19:12:12 ;710;3;3;79;89;3;20;1;
6.9.2018;19:17:40 ;710;3;3;71;89;1;20;1;
6.9.2018;19:17:40 ;711;3;3;55;85;1;20;2;
6.9.2018;19:17:40 ;712;3;3;91;133;1;3;3;
6.9.2018;19:17:40 ;713;3;3;108;121;1;3;4;
6.9.2018;19:17:45 ;710;3;3;71;87;2;20;1;
6.9.2018;19:17:47 ;711;3;3;63;87;2;20;2;
6.9.2018;19:17:50 ;710;3;3;79;96;3;20;1;
6.9.2018;19:17:54 ;711;3;3;67;88;3;20;2;
6.9.2018;19:17:55 ;712;3;3;82;59;2;3;3;
6.9.2018;19:17:55 ;710;3;3;75;91;4;20;1;
6.9.2018;19:18:00 ;713;3;3;100;48;2;3;4;
6.9.2018;19:18:00 ;710;3;3;75;98;5;20;1;
6.9.2018;19:18:01 ;711;3;3;67;86;4;20;2;
6.9.2018;19:18:05 ;710;3;3;75;89;6;20;1;
6.9.2018;19:18:08 ;711;3;3;59;89;5;20;2;
6.9.2018;19:18:10 ;712;3;3;127;83;3;3;3;
6.9.2018;19:18:10 ;710;3;3;75;100;7;20;1;
6.9.2018;19:18:15 ;711;3;3;67;89;6;20;2;
6.9.2018;19:18:20 ;713;3;3;87;90;3;3;4;
6.9.2018;19:18:20 ;710;3;3;71;95;8;20;1;
6.9.2018;19:18:22 ;711;3;3;67;95;7;20;2;
6.9.2018;19:18:25 ;710;3;3;79;100;9;20;1;
6.9.2018;19:18:29 ;711;3;3;59;86;8;20;2;
6.9.2018;19:18:30 ;710;3;3;71;85;10;20;1;
6.9.2018;19:18:35 ;710;3;3;71;86;11;20;1;
6.9.2018;19:18:36 ;711;3;3;67;87;9;20;2;
6.9.2018;19:18:43 ;711;3;3;67;98;10;20;2;
6.9.2018;19:18:45 ;710;3;3;79;98;12;20;1;
6.9.2018;19:18:50 ;710;3;3;79;89;13;20;1;
6.9.2018;19:18:57 ;711;3;3;63;86;11;20;2;
6.9.2018;19:19:00 ;710;3;3;75;86;14;20;1;
6.9.2018;19:19:04 ;711;3;3;55;88;12;20;2;
6.9.2018;19:19:10 ;710;3;3;75;99;15;20;1;
6.9.2018;19:19:11 ;711;3;3;67;96;13;20;2;
6.9.2018;19:19:18 ;711;3;3;63;99;14;20;2;
6.9.2018;19:19:20 ;710;3;3;71;90;16;20;1;
6.9.2018;19:19:25 ;711;3;3;59;92;15;20;2;
6.9.2018;19:19:25 ;710;3;3;75;92;17;20;1;
6.9.2018;19:19:30 ;710;3;3;75;93;18;20;1;
6.9.2018;19:19:32 ;711;3;3;63;96;16;20;2;
6.9.2018;19:19:35 ;710;3;3;75;97;19;20;1;
6.9.2018;19:19:39 ;711;3;3;67;92;17;20;2;
6.9.2018;19:19:40 ;710;3;3;75;90;20;20;1;
6.9.2018;19:19:46 ;711;3;3;67;99;18;20;2;
6.9.2018;19:19:53 ;711;3;3;59;94;19;20;2;
6.9.2018;19:20:07 ;711;3;3;63;98;20;20;2;
6.9.2018;19:21:36 ;712;3;3;82;59;1;3;1;
6.9.2018;19:21:38 ;712;3;3;91;133;2;3;1;
6.9.2018;19:21:40 ;712;3;3;127;83;3;3;1;
6.9.2018;19:22:20 ;712;3;3;82;59;3;3;1;
6.9.2018;19:24:04 ;712;3;3;127;83;1;3;1;
6.9.2018;19:24:06 ;712;3;3;82;59;2;3;1;
6.9.2018;19:24:08 ;712;3;3;91;133;3;3;1;
6.9.2018;19:24:30 ;712;3;3;82;59;3;3;1;
6.9.2018;19:24:50 ;712;3;3;82;59;3;3;1;
6.9.2018;19:25:08 ;712;3;3;82;59;3;3;1;
6.9.2018;19:25:24 ;712;3;3;82;59;3;3;1;
6.9.2018;19:25:48 ;712;3;3;82;59;3;3;1;
6.9.2018;19:26:21 ;710;3;3;75;98;1;20;1;
6.9.2018;19:26:21 ;711;3;3;59;88;1;20;2;
6.9.2018;19:26:21 ;712;3;3;82;59;1;3;3;
6.9.2018;19:26:21 ;713;3;3;87;90;1;3;4;
6.9.2018;19:26:23 ;712;3;3;127;83;2;3;3;
6.9.2018;19:26:25 ;712;3;3;91;133;3;3;3;
6.9.2018;19:26:26 ;710;3;3;71;87;2;20;1;
6.9.2018;19:26:28 ;711;3;3;67;95;2;20;2;
6.9.2018;19:26:31 ;710;3;3;71;91;3;20;1;
6.9.2018;19:26:35 ;711;3;3;55;85;3;20;2;
6.9.2018;19:26:36 ;710;3;3;79;92;4;20;1;
6.9.2018;19:26:39 ;712;3;3;82;59;3;3;3;
6.9.2018;19:26:41 ;713;3;3;108;121;2;3;4;
6.9.2018;19:26:41 ;710;3;3;71;85;5;20;1;
6.9.2018;19:26:42 ;711;3;3;59;93;4;20;2;
6.9.2018;19:26:46 ;710;3;3;75;99;6;20;1;
6.9.2018;19:26:49 ;711;3;3;55;87;5;20;2;
6.9.2018;19:26:56 ;711;3;3;59;92;6;20;2;
6.9.2018;19:26:56 ;710;3;3;75;87;7;20;1;
6.9.2018;19:26:57 ;712;3;3;82;59;3;3;3;
6.9.2018;19:27:01 ;713;3;3;100;48;3;3;4;
6.9.2018;19:27:01 ;710;3;3;71;88;8;20;1;
6.9.2018;19:27:03 ;711;3;3;67;90;7;20;2;
6.9.2018;19:27:10 ;711;3;3;63;97;8;20;2;
6.9.2018;19:27:11 ;710;3;3;71;86;9;20;1;
6.9.2018;21:00:31 ;710;3;3;75;92;1;20;1;
6.9.2018;21:00:31 ;711;3;3;67;91;1;20;2;
6.9.2018;21:00:31 ;712;3;3;91;133;1;3;3;
6.9.2018;21:00:31 ;713;3;3;87;90;1;3;4;
6.9.2018;21:00:33 ;712;3;3;127;83;2;3;3;
6.9.2018;21:00:35 ;712;3;3;82;59;3;3;3;
